service_id,date,exception_type
16976,20210101,2
13616,20210101,1
16882,20210101,1
16883,20210101,1
16971,20210101,2
16972,20210101,2
16881,20210101,1
17164,20210101,2
16977,20210101,2
16978,20210101,2
13549,20210101,1
16877,20210101,2
16924,20210101,1
16905,20210101,2
16906,20210101,2
13630,20210101,1
13504,20210101,2
13505,20210101,1
16760,20210101,2
13551,20210101,1
16945,20210101,2
16061,20210101,1
16908,20210101,2
13555,20210101,1
16925,20210101,1
16909,20210101,2
16880,20210101,1
16878,20210101,2
16702,20210101,1
17163,20210101,2
16910,20210101,2
13573,20210101,1
16926,20210101,1
16911,20210101,2
17325,20210101,2
16927,20210101,1
16913,20210101,2
10659,20210101,1
16914,20210101,2
7836,20210101,1
17424,20210101,1
17423,20210101,2
16571,20210101,1
16570,20210101,2
15634,20210101,2
13513,20210101,1
13514,20210101,1
16915,20210101,2
15469,20210101,1
15635,20210101,2
16928,20210101,1
16916,20210101,2
16857,20210101,2
16929,20210101,1
16917,20210101,2
16894,20210101,1
16918,20210101,2
9253,20210101,2
17140,20210101,1
17154,20210101,2
17152,20210101,2
17142,20210101,1
16919,20210101,2
13788,20210101,1
17020,20210101,2
13566,20210101,1
17421,20210101,2
17422,20210101,1
16876,20210101,2
7731,20210101,1
16747,20210101,2
13553,20210101,1
17162,20210101,2
14058,20210101,1
16921,20210101,2
16992,20210101,1
16922,20210101,2
16828,20210101,2
16826,20210101,2
16935,20210101,1
16923,20210101,2
16930,20210101,1
16827,20210101,2
16931,20210101,1
17161,20210101,2
7523,20210101,1
16890,20210101,2
15078,20210101,1
16493,20210101,2
16492,20210101,1
13559,20210101,2
13558,20210101,1
16860,20210101,1
16859,20210101,2
11431,20210101,1
16973,20210101,2
16933,20210101,1
17009,20210101,2
13568,20210101,2
16834,20210101,1
16790,20210101,2
17234,20210101,1
16711,20210101,2
16675,20210101,2
16716,20210101,1
16693,20210101,2
16937,20210101,1
16944,20210101,2
16794,20210101,2
17242,20210101,1
17307,20210101,2
16939,20210101,1
16941,20210101,2
13893,20210101,1
14635,20210101,2
16766,20210101,1
15315,20210101,2
16734,20210101,1
17085,20210101,2
16742,20210101,1
17073,20210101,2
16764,20210101,1
16743,20210101,2
16903,20210101,2
16499,20210101,1
16758,20210101,1
16757,20210101,2
16832,20210101,1
16759,20210101,2
16763,20210101,1
16762,20210101,2
16765,20210101,1
17752,20210101,2
16775,20210101,1
15492,20210101,2
16777,20210101,1
16779,20210101,2
16778,20210101,1
16781,20210101,2
16741,20210101,1
16787,20210101,2
16774,20210101,1
15493,20210101,2
17299,20210101,1
16780,20210101,2
16749,20210101,1
16755,20210101,2
16748,20210101,1
16744,20210101,2
